"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSDEM01","ASSDEM02","ASSGRN01","ASSIND01","ASSLIB01","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGREP01","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_14_N","PR_14_Y","PR_15_N","PR_15_Y","PR_16_N","PR_16_Y","PR_17_N","PR_17_Y","PR_18_N","PR_18_Y","PR_19_N","PR_19_Y","PR_20_N","PR_20_Y","PR_21_N","PR_21_Y","PR_22_N","PR_22_Y","PR_23_N","PR_23_Y","PR_24_N","PR_24_Y","PR_25_N","PR_25_Y","SENAIP01","SENDEM01","SENDEM02","SENLIB01","SENREP01"
"40","101A","35","24","17","2","575","0","0","0","0","0","0","0","0","0","515","0","0","0","0","0","0","0","0","0","0","0","106","0","0","0","0","390","0","133","0","367","0","140","1","2","0","362","394","105","409","94","435","58","388","115","425","80","359","131","219","275","434","63","118","382","416","78","350","143","419","75","0","122","0","0","376"
"40","101B","35","24","17","2","3521","0","0","0","0","0","0","0","0","0","2979","0","0","0","0","0","0","0","0","0","0","0","817","0","0","0","0","2047","0","983","0","1908","2","1040","12","50","5","1841","1877","953","2144","729","2271","568","1843","1030","2256","621","1791","1004","1321","1481","2119","711","826","2015","2124","716","1630","1172","2080","722","0","960","0","0","1859"
"40","102B","35","24","17","2","535","0","0","0","0","0","0","0","0","0","478","0","0","0","0","0","0","0","0","0","0","0","104","0","0","0","0","356","0","135","0","326","1","153","0","2","0","318","327","127","379","88","392","68","333","137","399","69","319","133","211","239","387","73","107","352","380","70","303","151","351","98","0","127","0","0","324"
"40","103","35","24","17","2","3232","0","0","0","0","0","0","0","0","0","2823","0","0","0","0","0","0","0","0","0","0","0","626","0","0","0","0","2109","0","831","0","1938","8","865","11","32","1","1869","1983","748","2254","510","2321","421","1917","845","2247","522","1876","844","1174","1539","2227","491","684","2054","2200","525","1747","972","2089","617","0","757","0","0","1944"
"40","104","35","24","17","2","1584","0","0","0","0","0","0","0","0","0","1416","0","0","0","0","0","0","0","0","0","0","0","362","0","0","0","0","985","0","457","0","908","2","496","2","28","0","862","967","393","1077","313","1080","285","901","481","1078","311","914","421","670","670","1097","259","352","1001","1061","294","835","511","1011","335","0","438","0","0","912"
"40","105","35","24","17","2","616","0","0","0","0","0","0","0","0","0","478","0","0","0","0","0","0","0","0","0","0","0","150","0","0","0","0","314","0","195","0","268","4","196","3","9","0","258","299","165","344","127","360","103","301","163","362","108","280","180","238","221","349","116","147","316","342","123","259","200","312","145","0","184","0","0","273"
"40","106","35","24","17","2","3160","0","0","0","0","0","0","0","0","0","2577","0","0","0","0","0","0","0","0","0","0","0","1101","0","0","0","0","1368","0","1310","0","1149","5","1369","8","37","7","1110","1322","1084","1519","955","1654","776","1231","1240","1620","853","1290","1095","1371","998","1607","805","860","1577","1645","776","1245","1150","1521","851","0","1235","0","0","1179"
"40","107","35","24","17","2","1122","0","0","0","0","0","0","0","0","0","1040","0","0","0","0","0","0","0","0","0","0","0","331","0","0","0","0","672","0","433","0","582","0","453","1","12","2","556","659","328","733","268","774","224","622","386","756","254","630","356","489","486","766","223","309","679","772","214","592","395","686","287","0","391","0","0","608"
"40","108","35","24","17","2","2228","0","0","0","0","0","0","0","0","0","1924","0","0","0","0","0","0","0","0","0","0","0","620","0","0","0","0","1244","0","802","0","1071","5","815","6","51","4","1007","1205","611","1300","552","1385","445","1122","735","1389","468","1116","689","909","887","1386","422","554","1264","1368","444","1037","761","1267","522","0","739","0","0","1086"
"40","109","35","24","17","2","3154","0","0","0","0","0","0","0","0","0","2740","0","0","0","0","0","0","0","0","0","0","0","974","0","0","0","0","1638","0","1229","0","1426","2","1273","9","42","5","1363","1577","1009","1795","848","1877","725","1521","1110","1891","766","1557","1009","1315","1231","1880","712","878","1718","1884","699","1420","1158","1737","810","0","1176","0","0","1408"
"40","110","35","24","17","2","2791","0","0","0","0","0","0","0","0","0","2459","0","0","0","0","0","0","0","0","0","0","0","862","0","0","0","0","1491","0","1079","0","1306","9","1118","9","29","5","1236","1466","883","1620","771","1757","611","1373","1013","1713","679","1423","908","1234","1089","1715","638","783","1575","1755","602","1305","1017","1638","680","0","1021","0","0","1318"
"40","111A","35","24","17","2","1973","0","0","0","0","0","0","0","0","0","1685","0","0","0","0","0","0","0","0","0","0","0","623","0","0","0","0","960","0","765","0","854","5","799","6","27","10","801","957","636","1076","543","1141","451","898","719","1132","487","925","651","850","719","1094","505","543","1054","1146","454","850","728","999","560","0","734","0","0","855"
"40","111B","35","24","17","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","112","35","24","17","2","3944","0","0","0","0","0","0","0","0","0","3313","0","0","0","0","0","0","0","0","0","0","0","1191","0","0","0","0","1996","0","1517","0","1695","12","1549","5","44","7","1649","1906","1216","2159","1024","2290","831","1878","1301","2292","903","1793","1300","1607","1471","2200","873","979","2155","2301","823","1650","1428","2161","914","0","1424","0","0","1710"
"40","113","35","24","17","2","753","0","0","0","0","0","0","0","0","0","681","0","0","0","0","0","0","0","0","0","0","0","221","0","0","0","0","445","0","271","0","396","1","282","0","11","3","372","446","205","503","168","505","152","383","283","491","180","442","215","348","293","514","135","207","444","502","151","413","237","446","194","0","263","0","0","387"
"40","114","35","24","17","2","3053","0","0","0","0","0","0","0","0","0","2785","0","0","0","0","0","0","0","0","0","0","0","868","0","0","0","0","1804","0","1163","0","1533","5","1257","8","46","3","1402","1747","922","1906","797","2029","622","1635","1051","1986","711","1662","956","1295","1340","2015","614","816","1833","2055","579","1487","1116","1845","773","0","1085","0","0","1555"
"40","115","35","24","17","2","2066","0","0","0","0","0","0","0","0","0","1817","0","0","0","0","0","0","0","0","0","0","0","600","0","0","0","0","1137","0","805","0","950","3","825","6","48","5","897","1074","650","1193","561","1311","412","991","761","1257","502","1029","679","870","832","1225","495","535","1199","1270","454","954","755","1174","520","0","742","0","0","971"
"40","201","35","24","17","2","2162","0","0","0","0","0","0","0","0","0","1981","0","0","0","0","0","0","0","0","0","0","0","1118","0","0","0","0","796","0","1269","0","665","4","1314","9","18","4","598","936","955","1054","864","1084","798","804","1122","1065","857","934","942","1167","679","1169","696","824","1066","1245","618","903","959","1012","839","0","1211","0","0","687"
"40","202","35","24","17","2","2336","0","0","0","0","0","0","0","0","0","2177","0","0","0","0","0","0","0","0","0","0","0","1265","0","0","0","0","842","0","1426","0","694","2","1483","12","7","2","627","1040","1023","1151","963","1218","850","870","1239","1172","941","1016","1050","1334","681","1280","771","915","1136","1407","620","1020","1014","1063","976","0","1382","0","0","692"
"40","203A","35","24","17","2","508","0","0","0","0","0","0","0","0","0","450","0","0","0","0","0","0","0","0","0","0","0","196","0","0","0","0","234","0","242","0","196","0","243","4","5","0","190","228","191","279","153","277","144","226","204","277","156","235","189","248","170","290","138","173","254","299","120","226","195","247","158","0","226","0","0","198"
"40","203B","35","24","17","2","20","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","10","0","7","0","9","0","7","0","1","0","9","9","7","11","6","14","3","9","8","12","5","11","6","7","8","14","3","5","11","13","4","8","9","10","7","0","6","0","0","10"
"40","204A","35","24","17","2","249","0","0","0","0","0","0","0","0","0","237","0","0","0","0","0","0","0","0","0","0","0","97","0","0","0","0","127","0","120","0","107","0","120","5","2","1","108","129","94","154","72","155","65","112","114","155","72","143","78","136","84","163","56","79","140","158","61","138","81","135","84","0","114","0","0","103"
"40","204B","35","24","17","2","34","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","17","0","15","0","14","0","15","0","2","0","13","21","7","21","9","21","7","16","14","25","5","23","7","19","11","25","5","9","19","25","5","21","7","22","8","0","13","0","0","16"
"40","205","35","24","17","2","2057","0","0","0","0","0","0","0","0","0","1862","0","0","0","0","0","0","0","0","0","0","0","857","0","0","0","0","933","0","1034","0","768","8","1078","9","22","2","723","1003","770","1134","667","1195","568","902","900","1151","655","1070","707","1053","686","1215","559","668","1093","1247","517","966","804","1006","691","0","1003","0","0","777"
"40","206","35","24","17","2","2230","0","0","0","0","0","0","0","0","0","2018","0","0","0","0","0","0","0","0","0","0","0","1016","0","0","0","0","956","0","1173","0","796","4","1193","16","31","1","750","1056","849","1159","780","1242","659","950","995","1181","779","1050","865","1191","699","1262","636","763","1134","1353","540","979","920","1113","768","0","1124","0","0","797"
"40","207","35","24","17","2","1900","0","0","0","0","0","0","0","0","0","1688","0","0","0","0","0","0","0","0","0","0","0","873","0","0","0","0","763","0","1002","0","634","4","1050","5","16","4","583","843","765","954","667","984","607","725","894","976","648","818","764","988","580","989","593","623","952","1092","492","773","802","884","688","0","969","0","0","623"
"40","208","35","24","17","2","2640","0","0","0","0","0","0","0","0","0","2403","0","0","0","0","0","0","0","0","0","0","0","1210","0","0","0","0","1088","0","1458","0","871","5","1523","14","30","3","789","1163","1108","1321","983","1423","849","1018","1293","1367","949","1215","1047","1438","784","1384","872","934","1330","1575","685","1094","1144","1276","937","0","1399","0","0","883"
"40","209","35","24","17","2","1404","0","0","0","0","0","0","0","0","0","1289","0","0","0","0","0","0","0","0","0","0","0","694","0","0","0","0","549","0","795","0","454","3","837","2","17","1","401","630","579","683","557","725","493","525","722","731","513","635","577","751","455","772","440","506","713","849","360","614","586","638","550","0","768","0","0","461"
"40","210","35","24","17","2","2680","0","0","0","0","0","0","0","0","0","2413","0","0","0","0","0","0","0","0","0","0","0","1471","0","0","0","0","869","0","1657","0","688","10","1683","22","39","6","599","1049","1247","1109","1222","1249","1060","815","1511","1167","1181","1126","1168","1567","704","1324","960","1101","1176","1460","815","1044","1234","1049","1148","0","1616","0","0","682"
"40","211","35","24","17","2","2311","0","0","0","0","0","0","0","0","0","2059","0","0","0","0","0","0","0","0","0","0","0","1279","0","0","0","0","711","0","1438","0","573","6","1467","12","34","5","507","849","1111","935","1069","1057","903","688","1310","1001","1001","882","1074","1330","606","1063","881","949","1002","1177","750","863","1077","923","972","0","1420","0","0","554"
"40","212","35","24","17","2","2989","0","0","0","0","0","0","0","0","0","2734","0","0","0","0","0","0","0","0","0","0","0","1681","0","0","0","0","977","0","1916","0","756","8","1975","13","28","4","651","1182","1408","1329","1317","1424","1159","969","1674","1354","1300","1330","1237","1727","818","1559","1014","1214","1362","1724","838","1280","1286","1213","1288","0","1850","0","0","760"
"40","213","35","24","17","2","2629","0","0","0","0","0","0","0","0","0","2387","0","0","0","0","0","0","0","0","0","0","0","1417","0","0","0","0","892","0","1619","0","702","7","1662","9","29","1","644","1074","1184","1178","1129","1260","1011","862","1451","1222","1086","1117","1142","1504","727","1336","921","1023","1226","1480","757","1059","1187","1105","1087","0","1575","0","0","716"
"40","214","35","24","17","2","1097","0","0","0","0","0","0","0","0","0","1002","0","0","0","0","0","0","0","0","0","0","0","548","0","0","0","0","401","0","658","0","309","2","695","6","9","3","259","427","518","466","495","544","408","350","618","506","467","489","451","658","269","592","340","450","499","618","309","480","448","452","473","0","629","0","0","322"
"40","215","35","24","17","2","1468","0","0","0","0","0","0","0","0","0","1325","0","0","0","0","0","0","0","0","0","0","0","853","0","0","0","0","393","0","973","0","292","5","1024","7","22","4","242","408","815","436","814","598","624","317","934","519","736","528","666","876","304","595","609","687","547","669","521","499","685","453","728","0","932","0","0","315"
"40","216","35","24","17","2","2879","0","0","0","0","0","0","0","0","0","2608","0","0","0","0","0","0","0","0","0","0","0","1482","0","0","0","0","988","0","1797","0","716","8","1830","17","61","3","624","1073","1362","1199","1287","1385","1061","853","1632","1284","1207","1111","1275","1668","709","1355","1054","1131","1309","1501","890","1130","1250","1105","1266","0","1698","0","0","753"
"40","217","35","24","17","2","724","0","0","0","0","0","0","0","0","0","492","0","0","0","0","0","0","0","0","0","0","0","326","0","0","0","0","112","0","372","0","82","2","393","9","13","0","66","151","293","115","342","209","245","80","387","147","317","149","276","340","93","181","254","284","172","172","257","166","274","162","269","0","353","0","0","95"
"40","301","35","24","17","2","1959","0","0","0","0","0","0","0","0","0","1716","0","0","0","0","0","0","0","0","0","0","0","996","0","0","0","0","635","0","1125","0","512","6","1166","14","36","4","455","703","903","733","905","907","705","563","1063","799","840","725","843","1041","516","840","756","709","900","952","625","642","948","791","764","0","1082","0","0","530"
"40","302","35","24","17","2","2765","0","0","0","0","0","0","0","0","0","2429","0","0","0","0","0","0","0","0","0","0","0","1291","0","0","0","0","1022","0","1541","0","800","6","1624","16","27","2","711","1078","1199","1163","1152","1306","948","928","1391","1267","1057","1028","1211","1413","805","1300","939","948","1339","1470","791","1075","1153","1136","1093","0","1500","0","0","792"
"40","303","35","24","17","2","3480","0","0","0","0","0","0","0","0","0","3158","0","0","0","0","0","0","0","0","0","0","0","1991","0","0","0","0","1041","0","2321","0","735","7","2401","18","53","4","620","1154","1807","1221","1800","1415","1562","821","2209","1337","1715","1248","1680","2137","759","1474","1457","1517","1454","1756","1167","1275","1643","1191","1708","0","2231","0","0","771"
"40","304","35","24","17","2","3328","0","0","0","0","0","0","0","0","0","3024","0","0","0","0","0","0","0","0","0","0","0","1704","0","0","0","0","1209","0","2070","0","873","10","2145","18","56","6","728","1316","1533","1396","1519","1555","1305","1027","1870","1498","1420","1313","1503","1918","881","1675","1141","1242","1625","1909","917","1358","1434","1363","1423","0","1938","0","0","928"
"40","305","35","24","17","2","2860","0","0","0","0","0","0","0","0","0","2628","0","0","0","0","0","0","0","0","0","0","0","1568","0","0","0","0","958","0","1836","0","716","3","1916","15","30","1","605","1074","1404","1219","1304","1321","1159","837","1690","1264","1274","1185","1252","1710","701","1368","1057","1163","1296","1522","923","1144","1268","1102","1338","0","1761","0","0","742"
"40","306","35","24","17","2","3392","0","0","0","0","0","0","0","0","0","3025","0","0","0","0","0","0","0","0","0","0","0","2034","0","0","0","0","851","0","2294","0","623","11","2344","35","45","16","521","1004","1803","1055","1816","1253","1547","679","2176","1141","1733","1098","1636","2051","664","1237","1524","1500","1300","1476","1268","1179","1531","1039","1672","0","2200","0","0","647"
"40","307","35","24","17","2","1295","0","0","0","0","0","0","0","0","0","1223","0","0","0","0","0","0","0","0","0","0","0","387","0","0","0","0","784","0","581","0","613","4","633","7","24","2","518","681","487","840","349","825","337","658","525","831","368","700","457","670","473","936","237","358","822","938","233","656","508","734","408","0","524","0","0","639"
"40","308","35","24","17","2","1831","0","0","0","0","0","0","0","0","0","1688","0","0","0","0","0","0","0","0","0","0","0","807","0","0","0","0","818","0","955","0","690","2","1018","10","19","2","601","853","757","965","675","1027","591","744","901","985","660","864","744","945","636","1104","489","586","1015","1162","436","826","765","864","703","0","905","0","0","708"
"40","309","35","24","17","2","770","0","0","0","0","0","0","0","0","0","721","0","0","0","0","0","0","0","0","0","0","0","305","0","0","0","0","378","0","375","0","325","0","385","4","13","0","300","424","259","455","242","459","231","337","357","443","257","379","299","397","265","500","180","228","456","524","157","356","317","419","252","0","354","0","0","334"
"40","310","35","24","17","2","3317","0","0","0","0","0","0","0","0","0","2966","0","0","0","0","0","0","0","0","0","0","0","1274","0","0","0","0","1564","0","1523","0","1353","7","1620","15","30","4","1236","1497","1286","1809","1050","1939","850","1399","1437","1825","1025","1531","1232","1677","1079","1993","796","913","1888","2021","752","1327","1430","1725","1018","0","1464","0","0","1344"
"40","311","35","24","17","2","2388","0","0","0","0","0","0","0","0","0","2203","0","0","0","0","0","0","0","0","0","0","0","829","0","0","0","0","1280","0","1006","0","1143","10","1079","11","22","0","1051","1260","836","1480","655","1501","596","1232","889","1497","634","1187","883","1052","1009","1542","538","584","1501","1602","489","1135","931","1426","633","0","971","0","0","1140"
"40","312","35","24","17","2","2945","0","0","0","0","0","0","0","0","0","2591","0","0","0","0","0","0","0","0","0","0","0","1086","0","0","0","0","1390","0","1347","0","1168","12","1373","15","28","4","1114","1403","1058","1549","963","1684","771","1237","1245","1615","889","1333","1109","1428","995","1635","823","932","1518","1657","781","1232","1189","1487","933","0","1278","0","0","1179"
"40","313","35","24","17","2","3044","0","0","0","0","0","0","0","0","0","2524","0","0","0","0","0","0","0","0","0","0","0","1068","0","0","0","0","1328","0","1265","0","1163","5","1335","15","49","2","1081","1320","1043","1460","945","1639","757","1144","1274","1513","909","1269","1080","1377","971","1449","905","896","1483","1630","734","1137","1211","1434","898","0","1261","0","0","1114"
"40","314","35","24","17","2","2141","0","0","0","0","0","0","0","0","0","1825","0","0","0","0","0","0","0","0","0","0","0","851","0","0","0","0","908","0","941","0","819","10","1008","5","19","1","749","970","759","1081","676","1156","564","863","883","1167","584","943","765","996","690","1093","611","669","1056","1127","592","827","855","1031","650","0","920","0","0","794"
"40","315","35","24","17","2","2036","0","0","0","0","0","0","0","0","0","1851","0","0","0","0","0","0","0","0","0","0","0","695","0","0","0","0","1095","0","834","0","969","8","891","5","33","1","863","1064","694","1236","559","1283","485","974","816","1250","559","1134","623","948","765","1359","399","563","1197","1346","395","995","751","1101","613","0","802","0","0","964"
